product_id,title,brand,category,price,avg_rating,reviews_count,views,cart_adds,purchases,last_30_days_sales,last_7_days_sales,return_rate,stock,discount_percent,launch_date
P9020,Xiaomi Pad 6,Xiaomi,Tablet,399.99,4.57,105,9304,1282,479,268,49,0.041,50,0,2025-02-01
P9021,Apple Watch Series 9,Apple,Smartwatch,399.0,4.2,298,15536,2147,526,212,78,0.028,56,18,2024-06-11
P9022,Samsung Galaxy Watch 6 Classic,Samsung,Smartwatch,399.99,4.82,221,10595,1417,386,191,45,0.023,82,18,2025-07-15
P9023,Garmin Venu 3,Garmin,Smartwatch,449.99,4.67,144,11186,1060,544,334,67,0.04,23,15,2024-08-04
P9024,Fitbit Versa 4,Fitbit,Smartwatch,199.95,4.7,159,7745,1244,439,257,61,0.034,22,0,2025-04-14
P9025,Huawei Watch GT 4,Huawei,Smartwatch,249.99,4.75,269,11942,1822,445,197,69,0.023,25,20,2024-07-06
P9026,JBL Charge 5 Speaker,JBL,Speaker,179.95,4.17,123,10504,1561,251,126,34,0.023,13,12,2025-05-09
P9027,Bose SoundLink Flex,Bose,Speaker,149.0,4.26,124,11558,999,365,168,54,0.041,70,18,2024-03-05
P9028,Sony SRS-XG300 Speaker,Sony,Speaker,349.99,4.49,199,10362,1551,381,168,36,0.032,74,18,2025-06-19
P9029,Sonos Roam 2,Sonos,Speaker,179.0,4.53,159,10813,1519,251,76,19,0.043,23,15,2024-03-15
P9030,Marshall Emberton II,Marshall,Speaker,169.99,4.31,65,9714,1133,239,74,26,0.042,88,12,2025-04-23
P9031,Logitech MX Master 3S,Logitech,Accessory,99.99,4.46,207,7958,1639,317,195,48,0.033,26,15,2025-03-07
P9032,Logitech MX Keys S,Logitech,Accessory,109.99,4.07,188,7819,1128,407,154,45,0.024,8,15,2025-06-08
P9033,Anker 737 Power Bank,Anker,Accessory,159.99,4.24,256,11280,884,423,247,49,0.017,40,0,2024-05-12
P9034,SanDisk Extreme Portable SSD 1TB,SanDisk,Accessory,109.99,4.85,128,9397,1275,323,165,29,0.026,71,18,2024-02-28
P9035,Razer DeathAdder V3,Razer,Accessory,69.99,4.28,88,9765,877,391,187,39,0.017,39,0,2024-09-27
P9036,Sony PlayStation 5 Slim,Sony,Gaming,499.99,4.52,256,14182,1687,408,183,38,0.033,22,0,2024-04-22
P9037,Xbox Series X,Microsoft,Gaming,499.99,4.84,148,12853,1271,300,126,38,0.042,32,10,2024-10-04
P9038,Nintendo Switch OLED,Nintendo,Gaming,349.99,4.06,166,8635,991,307,132,48,0.043,30,20,2024-04-18
P9039,Razer BlackShark V2,Razer,Gaming,99.99,4.51,276,10961,1638,453,277,65,0.057,45,7,2025-10-13
P9040,Canon EOS R50 Camera,Canon,Camera,679.99,4.76,60,5575,1119,266,84,15,0.043,38,15,2025-01-25
P9041,Sony ZV-E10 Camera,Sony,Camera,699.99,4.26,67,10677,1155,193,81,17,0.038,26,10,2024-12-02
P9042,GoPro HERO12 Black,GoPro,Camera,399.99,4.87,54,9195,880,152,60,15,0.034,6,12,2025-05-29
P9043,DJI Osmo Pocket 3,DJI,Camera,519.99,4.13,135,7819,719,234,94,21,0.027,81,0,2025-10-06
P9044,Amazon Echo Dot 5th Gen,Amazon,Smart Home,49.99,4.69,149,6552,1051,294,157,50,0.031,82,15,2025-05-21
P9045,Google Nest Hub 2nd Gen,Google,Smart Home,99.99,4.09,200,6565,1214,342,179,60,0.035,86,15,2024-05-22
P9046,Philips Hue Starter Kit,Philips,Smart Home,129.99,4.74,65,9311,1101,289,83,14,0.031,93,7,2025-10-14
P9047,Ring Video Doorbell Wired,Ring,Smart Home,64.99,4.52,172,6820,712,348,151,24,0.029,93,7,2024-03-12
P9048,TP-Link Tapo Smart Plug,TP-Link,Smart Home,19.99,4.61,70,8578,951,282,159,33,0.032,38,0,2024-07-29
